artist_name,primary_genre,region_hint,priority,affinity_anchor,reason,data_confidence,source_url
Adele,pop,US/Global,5,,Pop anchor; clean big-hook pop; brand-forward; mainstream runway,0.75,
Chappell Roan,pop,US,5,,Alt-pop theatrical persona; cult-to-mainstream compounding arc,0.75,
Charli XCX,pop,UK,5,,Pop experimentalist; culture acceleration; icon-stage compounding,0.75,
Gracie Abrams,pop,US,5,,Intimate pop-songwriter; high-save audience; steady compounding,0.75,
KATSEYE,pop,US/Global,5,,Modern pop group; choreography + memeability; Gen-Z momentum pattern,0.75,
Olivia Rodrigo,pop,US,5,Taylor Swift,Modern pop breakout template; rapid compounding from debut single | Anchor modern pop-breakout arc; big hooks; strong persona.,0.75,
Sabrina Carpenter,pop,US,5,,Maximal pop craft + persona; narrative pop; high conversion,0.75,
Tate McRae,pop,CA,5,,Dance-pop edge; performance-first persona; radio+TikTok compatible,0.75,
Taylor Swift,pop,US,5,,Songwriting + narrative worldbuilding benchmark,0.75,
sombr,pop/alt,?,5,,Zero-to-one-hundred breakout you tracked; early 2025 compounding,0.9,https://www.cosmopolitan.com/entertainment/music/a64923044/sombr-undressed-meaning/
Audrey Hobert,indie pop,US,4,,Alt-pop songwriter; early-internet discovery; voice/persona-led,0.9,https://www.sfchronicle.com/entertainment/article/audrey-hobert-sabrina-carpenter-20077501.php
Billie Eilish,pop,US,4,Joji,Alt-pop minimalism; persona; strong sonic signature.,0.75,
Cameron Winter,alt rock,US,4,,Alt-rock lane; emerging reference,0.9,https://pitchfork.com/news/watch-cameron-winter-perform-drinking-age-on-kimmel/
Clairo,indie pop,US,4,Del Water Gap,Bedroom-to-mainstream indie pop arc; tone+persona.,0.75,
Del Water Gap,indie pop,US,4,,Indie-pop with emotional directness; touring-to-streams bridge,0.75,
Djo,indie pop,US,4,,Indie/synth-pop crossover; actor-to-music virality pattern,0.75,
Dua Lipa,pop,UK,4,Sabrina Carpenter,Polished pop with strong brand coherence.,0.75,
Geese,alt rock,US,4,,Alt-rock/art-rock; scene momentum; critical tastemaker alignment,0.75,
Gregory Alan Isakov,indie folk,US,4,,Indie-folk songwriting benchmark; long-tail catalog power,0.75,
Harry Styles,pop,UK,4,,Pop superstar benchmark; conversion depth; cross-demo,0.75,
JP Saxe,singer-songwriter,CA,4,,Confessional songwriter; lyrical specificity; fan intimacy,0.75,
Joji,indie pop,US,4,,Melancholic alt-pop; internet-native breakout; mood-first,0.75,
Julia Michaels,singer-songwriter,US,4,,Modern pop writing benchmark; topline craft; hook economy,0.75,
LCD Soundsystem,alt rock,US,4,,Alt/indie institution; live-first cult flywheel benchmark,0.75,
Lizzy McAlpine,singer-songwriter,US,4,,Singer-songwriter breakout via TikTok; high-repeat listening,0.75,
Lola Young,indie pop,UK,4,,Soulful alt-pop; voice-forward; UK compounding,0.75,
MJ Lenderman,alt rock,US,4,,Alt-rock/indie; critical-to-fan compounding; guitar-forward,0.75,
MUNA,indie pop,US,4,,Indie-pop with identity; community flywheel; live credibility,0.75,
Maisie Peters,pop,UK,4,Taylor Swift,Narrative pop writing; fan community conversion.,0.75,
Mon Rovia,indie folk,US,4,,Indie-folk warmth; intimacy; organic word-of-mouth,0.75,
Noah Kahan,indie folk,US,4,Gregory Alan Isakov,Modern indie-folk compounding arc; community + singalongs.,0.75,
Olivia Dean,singer-songwriter,UK,4,,UK singer; organic-to-mainstream compounding; voice-forward,0.75,
Phoebe Bridgers,indie folk,US,4,Gregory Alan Isakov,Indie-folk emotional specificity; cult-to-mainstream archetype. | Indie singer-songwriter; cult flywheel; tastemaker network,0.75,
RAYE,pop,UK,4,Adele,Voice + writing + pop craft; UK tastemaker crossover.,0.75,
